GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
1;2;14;1;19;5;475.56;83.87;83.87;72.78;66.99;62.21;62.21;69.65;0.0;57.9;64.24;8;3;9;3;2011
0;1;10;1;19;5;492.57;75.41;75.41;63.65;61.96;77.28;77.28;75.95;0.0;63.68;65.57;10;3;9;3;2011
0;2;17;1;19;5;486.02;82.87;82.87;66.68;75.48;64.91;64.91;63.99;0.0;62.46;69.93;18;3;9;3;2011
0;2;18;1;19;5;504.92;78.36;78.36;66.93;86.89;62.11;62.11;87.87;0.0;62.46;59.21;5;6;9;2;2011
0;2;1;1;19;5;491.53;78.36;78.36;60.76;75.02;77.1;77.1;71.9;0.0;68.09;82.38;1;5;9;3;2011
0;1;14;1;19;5;462.88;75.41;75.41;75.93;69.64;62.21;62.21;61.28;0.0;60.81;71.98;16;2;9;3;2011
1;2;10;1;19;5;492.18;72.05;72.05;76.27;69.14;70.87;70.87;65.98;0.0;75.71;68.86;10;3;9;3;2011
1;2;14;1;19;5;523.09;82.87;82.87;72.78;103.04;64.91;64.91;61.28;0.0;71.0;77.55;16;2;9;3;2011
0;2;11;1;19;5;489.9;63.5;63.5;73.09;71.97;70.87;70.87;68.87;0.0;60.81;85.05;1;5;9;4;2011
0;2;7;1;19;5;475.36;82.87;82.87;66.68;72.45;64.91;64.91;66.77;0.0;56.82;65.57;7;5;9;2;2011
1;2;14;1;19;5;478.38;69.01;69.01;69.98;78.39;62.21;62.21;63.2;0.0;63.68;85.44;16;2;9;3;2011
0;2;9;1;19;5;489.54;71.35;71.35;69.72;75.48;59.27;59.27;88.69;0.0;62.46;81.98;9;4;9;3;2011
0;2;17;1;19;5;475.29;71.35;71.35;66.68;75.48;73.83;73.83;69.65;0.0;62.46;71.98;16;2;9;3;2011
0;2;5;1;19;5;481.76;79.26;79.26;60.76;66.48;73.98;73.98;68.87;0.0;72.54;55.62;5;6;9;2;2011
0;2;11;1;19;5;490.58;79.26;79.26;60.76;69.14;59.4;59.4;71.9;0.0;72.54;64.24;11;5;9;3;2011
0;2;7;1;19;5;466.01;75.41;75.41;69.98;61.43;65.03;65.03;68.87;0.0;60.81;57.29;7;5;9;2;2011
1;2;1;1;19;5;478.92;63.02;63.02;73.09;86.89;64.91;64.91;65.98;0.0;62.46;77.13;1;5;9;3;2011
0;2;17;1;19;5;447.34;77.8;77.8;55.56;56.4;68.74;68.74;59.3;0.0;63.91;62.69;11;5;9;3;2011
0;2;10;1;19;5;439.72;64.12;64.12;61.79;66.12;67.34;67.34;64.45;0.0;54.39;89.24;16;2;9;3;2011
1;2;18;3;19;5;429.61;76.37;76.37;55.49;66.74;59.95;59.95;51.87;0.0;56.48;79.55;14;2;9;3;2011
0;1;7;1;19;5;440.77;79.59;79.59;49.76;57.27;64.85;64.85;66.5;0.0;56.79;64.7;19;5;9;2;2011
1;2;18;1;19;5;429.31;69.96;69.96;56.97;68.87;64.72;64.72;55.79;0.0;53.3;79.4;19;5;9;1;2011
0;1;8;1;19;5;413.23;74.79;74.79;59.37;63.72;58.33;58.33;64.45;0.0;44.91;75.1;8;3;9;2;2011
1;2;8;1;19;5;429.98;62.84;62.84;63.43;60.85;57.14;57.14;61.19;0.0;62.81;57.84;8;3;9;3;2011
0;1;11;1;19;5;425.73;73.85;73.85;57.16;53.65;58.25;58.25;69.49;0.0;55.62;77.13;20;7;9;2;2011
1;1;8;1;19;5;438.09;64.12;64.12;61.79;66.12;50.41;50.41;73.69;0.0;64.57;59.21;8;3;9;2;2011
0;2;11;1;19;5;412.88;67.28;67.28;59.37;61.55;62.55;62.55;57.8;0.0;44.91;63.4;8;3;9;2;2011
1;2;10;1;19;5;421.17;69.96;69.96;56.97;55.8;62.45;62.45;57.8;0.0;60.48;64.24;10;3;9;3;2011
0;2;9;1;19;5;431.81;64.16;64.16;58.27;59.89;56.7;56.7;63.55;0.0;58.46;72.32;9;4;9;3;2011
0;1;11;1;19;5;413.99;74.79;74.79;54.57;57.63;60.38;60.38;59.89;0.0;47.31;55.62;11;5;9;2;2011
1;2;15;1;19;5;415.52;67.28;67.28;59.37;59.53;62.55;62.55;62.09;0.0;47.31;59.67;15;3;9;3;2011
0;2;8;1;19;5;416.75;79.59;79.59;52.29;59.17;56.32;56.32;61.52;0.0;54.39;81.98;3;1;9;2;2011
0;1;4;1;19;5;407.67;60.6;60.6;59.37;66.12;67.19;67.19;45.94;0.0;48.75;46.27;4;4;9;2;2011
0;1;6;1;19;5;410.02;79.59;79.59;49.63;61.55;54.35;54.35;55.79;0.0;49.69;53.73;6;5;9;2;2011
1;2;15;1;19;5;420.45;67.28;67.28;54.57;63.72;58.33;58.33;55.79;0.0;59.25;71.98;15;3;9;3;2011
0;2;8;1;19;5;411.47;70.78;70.78;56.97;52.28;58.33;58.33;57.8;0.0;61.84;58.01;7;5;9;2;2011
0;2;10;1;19;5;405.48;67.28;67.28;59.37;61.55;56.32;56.32;57.8;0.0;49.69;66.03;10;3;9;2;2011
0;2;18;1;19;5;414.9;66.56;66.56;54.74;61.2;58.25;58.25;61.52;0.0;46.43;62.13;18;3;9;3;2011
1;1;18;1;19;5;406.58;69.96;69.96;54.57;52.28;62.45;62.45;49.94;0.0;55.62;77.13;8;3;9;2;2011
0;2;13;1;19;5;398.67;60.49;60.49;66.74;54.01;57.32;57.32;67.71;0.0;38.35;40.88;20;7;9;2;2011
0;2;9;1;19;5;385.92;69.99;69.99;58.93;52.34;64.21;64.21;49.87;0.0;38.35;55.84;20;6;9;2;2011
1;2;11;1;19;5;418.89;64.12;64.12;54.57;63.72;60.38;60.38;59.89;0.0;56.79;79.4;11;5;9;2;2011
1;2;4;1;19;5;430.92;61.16;61.16;52.14;76.54;58.33;58.33;64.45;0.0;56.79;58.47;4;4;9;2;2011
1;1;15;1;19;5;411.45;67.28;67.28;56.97;63.72;52.4;52.4;53.82;0.0;61.84;53.73;19;5;9;2;2011
0;2;18;1;19;5;403.15;74.79;74.79;52.14;63.72;52.4;52.4;57.8;0.0;44.91;68.86;18;3;9;2;2011
0;2;8;1;19;5;384.68;84.71;84.71;49.63;48.76;56.23;56.23;47.96;0.0;41.63;60.44;8;3;9;2;2011
1;2;9;1;19;5;392.99;60.6;60.6;67.16;59.17;54.28;54.28;57.23;0.0;46.43;75.1;9;4;9;3;2011
0;1;6;1;19;5;427.29;63.47;63.47;52.14;66.12;60.29;60.29;67.08;0.0;60.48;64.24;10;3;9;2;2011
1;2;7;1;19;5;407.23;66.56;66.56;54.74;53.65;60.29;60.29;59.32;0.0;48.75;55.62;7;5;9;2;2011
1;2;8;1;19;5;403.54;79.59;79.59;52.29;55.44;46.27;46.27;57.23;0.0;59.25;79.81;8;3;9;3;2011
0;2;8;1;19;5;399.16;73.57;73.57;50.94;59.89;54.6;54.6;54.77;0.0;39.79;56.48;8;3;9;2;2011
0;2;1;1;19;5;399.06;63.47;63.47;57.16;51.9;64.72;64.72;51.3;0.0;48.75;77.13;12;3;9;4;2011
1;1;11;1;19;5;394.65;64.12;64.12;61.79;57.63;50.41;50.41;51.88;0.0;47.31;65.57;11;5;9;3;2011
0;1;16;1;19;5;401.89;60.6;60.6;59.37;57.63;62.45;62.45;64.45;0.0;41.63;59.21;8;3;9;3;2011
0;2;7;1;19;5;405.25;62.82;62.82;54.12;55.7;66.94;66.94;60.25;0.0;43.59;58.45;7;5;9;2;2011
0;2;11;1;19;5;383.54;70.26;70.26;60.41;54.59;50.47;50.47;53.07;0.0;39.52;83.41;11;5;9;2;2011
0;2;11;1;19;5;398.62;73.85;73.85;49.63;54.03;60.29;60.29;62.09;0.0;39.03;85.05;11;5;9;3;2011
0;2;20;1;19;5;422.22;60.6;60.6;54.74;55.44;58.25;58.25;63.88;0.0;63.11;75.52;4;4;9;2;2011
0;2;10;1;19;5;404.66;63.47;63.47;57.16;57.27;60.29;60.29;63.88;0.0;48.75;49.66;10;3;9;3;2011
0;2;11;1;19;5;403.99;64.24;64.24;57.99;54.59;54.6;54.6;55.09;0.0;58.36;72.32;11;5;9;3;2011
